name,city,state,region,highest_degree,control,gender,admission_rate,sat_avg,undergrads,tuition,faculty_salary_avg,loan_default_rate,median_debt,lon,lat
Goshen College,Goshen,IN,Midwest,Graduate,Private,CoEd,0.54,1109,746,29700,5910,33,20671,-85.8344383,41.5822716
Indiana University-East,Richmond,IN,Midwest,Graduate,Public,CoEd,0.6376,943,3200,6787,5819,131,21172,-84.8902382,39.8289369
University of Notre Dame,Notre Dame,IN,Midwest,Graduate,Private,CoEd,0.2114,1450,8427,46237,13102,6,21250,-86.2353388,41.7055716
Purdue University-Calumet Campus,Hammond,IN,Midwest,Graduate,Public,CoEd,0.5968,965,7316,6758,8118,94,22028,-87.5000412,41.5833688
Grace College and Theological Seminary,Winona Lake,IN,Midwest,Graduate,Private,CoEd,0.8012,1110,1478,24670,6425,46,22375,-85.8219345,41.2272668
Indiana University-Southeast,New Albany,IN,Midwest,Graduate,Public,CoEd,0.8032,959,5476,6827,6624,105,22500,-85.8241312,38.2856247
Purdue University-Main Campus,West Lafayette,IN,Midwest,Graduate,Public,CoEd,0.5929,1213,29977,10002,11141,34,22500,-86.9080655,40.4258686
University of Southern Indiana,Evansville,IN,Midwest,Graduate,Public,CoEd,0.7134,1001,8233,6957,6785,67,22866,-87.5710898,37.9715592
Indiana University-Bloomington,Bloomington,IN,Midwest,Graduate,Public,CoEd,0.7609,1198,32252,10388,9783,39,23000,-86.5263857,39.165325
Indiana State University,Terre Haute,IN,Midwest,Graduate,Public,CoEd,0.8254,913,10497,8416,7057,96,23713,-87.4139092,39.4667034
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,Midwest,Graduate,Public,CoEd,0.7049,1010,21777,8909,7799,59,24147.5,-86.158068,39.768403
Indiana Wesleyan University-Marion,Marion,IN,Midwest,Graduate,Private,CoEd,0.9505,1081,10218,24102,6993,54,24160,-85.6591442,40.5583739
Taylor University,Upland,IN,Midwest,Graduate,Private,CoEd,0.8803,1184,1855,29538,6559,36,24500,-85.4944168,40.4755974
Holy Cross College,Notre Dame,IN,Midwest,Bachelor,Private,CoEd,0.9316,969,512,27150,4612,102,25000,-86.2353388,41.7055716
Purdue University-North Central Campus,Westville,IN,Midwest,Graduate,Public,CoEd,0.7251,959,3231,7329,7014,103,25000,-86.9005825,41.5414297
Ball State University,Muncie,IN,Midwest,Graduate,Public,CoEd,0.5988,1066,15895,9344,7454,49,25000,-85.3863599,40.1933767
Wabash College,Crawfordsville,IN,Midwest,Bachelor,Private,Men,0.6998,1128,923,37750,8554,69,25000,-86.8744516,40.0411536
DePauw University,Greencastle,IN,Midwest,Bachelor,Private,CoEd,0.566,1213,2185,42746,9104,45,25000,-86.8647316,39.6444898
Indiana University-Purdue University-Fort Wayne,Fort Wayne,IN,Midwest,Graduate,Public,CoEd,0.9087,1002,9314,7949,7360,100,25500,-85.1393513,41.079273
Indiana University-South Bend,South Bend,IN,Midwest,Graduate,Public,CoEd,0.7333,942,5398,6905,5766,104,25537,-86.2519898,41.6763545
University of Saint Francis-Fort Wayne,Fort Wayne,IN,Midwest,Graduate,Private,CoEd,0.9686,981,1796,25930,5763,55,25750,-85.1393513,41.079273
Trine University,Angola,IN,Midwest,Graduate,Private,CoEd,0.7599,1078,1654,29600,7632,82,26000,-84.9994088,41.6347726
University of Evansville,Evansville,IN,Midwest,Graduate,Private,CoEd,0.8295,1144,2266,31776,7644,23,26450,-87.5710898,37.9715592
Huntington University,Huntington,IN,Midwest,Graduate,Private,CoEd,0.9711,1034,1001,24771,6127,27,26745,-85.497476,40.8831011
Saint Josephs College,Rensselaer,IN,Midwest,Graduate,Private,CoEd,0.6641,996,1074,27890,5523,76,27000,-87.1508562,40.9367045
Marian University,Indianapolis,IN,Midwest,Graduate,Private,CoEd,0.5644,1036,1999,29400,5989,47,27000,-86.158068,39.768403
Anderson University,Anderson,IN,Midwest,Graduate,Private,CoEd,0.5491,1048,1831,26850,6449,46,27000,-85.6802541,40.1053196
Indiana University-Northwest,Gary,IN,Midwest,Graduate,Public,CoEd,0.7678,916,4370,6854,6586,122,27000,-87.3464271,41.5933696
Franklin College,Franklin,IN,Midwest,Bachelor,Private,CoEd,0.6922,1031,1022,28185,6637,30,27000,-86.0549863,39.4806055
Manchester University,North Manchester,IN,Midwest,Graduate,Private,CoEd,0.7428,1000,1254,29040,6850,84,27000,-85.768597,41.0006005
Saint Mary's College,Notre Dame,IN,Midwest,Bachelor,Private,Women,0.8334,1144,1508,35970,7047,17,27000,-86.2353388,41.7055716
University of Indianapolis,Indianapolis,IN,Midwest,Graduate,Private,CoEd,0.6648,1018,4136,25414,7090,60,27000,-86.158068,39.768403
Valparaiso University,Valparaiso,IN,Midwest,Graduate,Private,CoEd,0.8236,1155,3210,34760,7110,30,27000,-87.0611412,41.4730948
Butler University,Indianapolis,IN,Midwest,Graduate,Private,CoEd,0.6846,1205,4013,35652,7625,16,27000,-86.158068,39.768403
Hanover College,Hanover,IN,Midwest,Bachelor,Private,CoEd,0.6447,1101,1136,33023,7711,41,27000,-85.4735707,38.7142263
Rose-Hulman Institute of Technology,Terre Haute,IN,Midwest,Graduate,Private,CoEd,0.5879,1308,2208,43683,10195,17,27000,-87.4139092,39.4667034
Indiana Institute of Technology,Fort Wayne,IN,Midwest,Graduate,Private,CoEd,0.7057,965,6397,24860,7244,127,27013.5,-85.1393513,41.079273
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,Midwest,Graduate,Private,CoEd,1,943,678,28351,5017,70,28000,-87.4669729,39.5107254
Cleveland University-Kansas City,Overland Park,KS,Midwest,Graduate,Private,CoEd,1,1050,47,9120,5060,52,9062.5,-94.6707917,38.9822282
MidAmerica Nazarene University,Olathe,KS,Midwest,Graduate,Private,CoEd,0.6899,1010,1322,24250,6327,54,17010,-94.8191285,38.8813958
Pittsburg State University,Pittsburg,KS,Midwest,Graduate,Public,CoEd,0.7919,1010,5842,6230,7094,85,19557,-94.70496,37.410884
University of Kansas,Lawrence,KS,Midwest,Graduate,Public,CoEd,0.9142,1145,18802,10448,9845,44,19793,-95.2352501,38.9716689
Manhattan Christian College,Manhattan,KS,Midwest,Bachelor,Private,CoEd,0.5909,1030,289,13642,5219,69,19822.5,-96.5716694,39.1836082
Newman University,Wichita,KS,Midwest,Graduate,Private,CoEd,0.5281,1076,1182,24800,5688,65,20216.5,-97.330053,37.6871761
Emporia State University,Emporia,KS,Midwest,Graduate,Public,CoEd,0.7649,1009,3777,5746,6474,70,20848,-96.1816626,38.403903
Tabor College,Hillsboro,KS,Midwest,Bachelor,Private,CoEd,0.8568,1037,708,23900,4724,76,21500,-97.2044723,38.3519555
Central Christian College of Kansas,McPherson,KS,Midwest,Bachelor,Private,CoEd,0.4963,966,985,16204,3436,156,23375,-97.6642087,38.3708415
University of Saint Mary,Leavenworth,KS,Midwest,Graduate,Private,CoEd,0.475,1002,819,24450,5811,50,24000,-94.9224637,39.3111112
Friends University,Wichita,KS,Midwest,Graduate,Private,CoEd,0.6138,1029,1339,24630,6539,79,24500,-97.330053,37.6871761
McPherson College,McPherson,KS,Midwest,Bachelor,Private,CoEd,0.9928,1005,619,24035,5519,90,25000,-97.6642087,38.3708415
Kansas Wesleyan University,Salina,KS,Midwest,Graduate,Private,CoEd,0.6147,1059,643,25200,5671,63,25000,-97.6114237,38.8402805
Baker University,Baldwin City,KS,Midwest,Graduate,Private,CoEd,0.6953,1059,1649,26370,5745,53,25250,-95.1863603,38.775007
Southwestern College,Winfield,KS,Midwest,Graduate,Private,CoEd,0.8793,1007,1288,24835,5646,50,25450,-96.9955918,37.2397486
Sterling College,Sterling,KS,Midwest,Bachelor,Private,CoEd,0.4437,978,701,21950,4526,91,25500,-98.2070059,38.2100111
Benedictine College,Atchison,KS,Midwest,Graduate,Private,CoEd,0.9778,1120,1836,25100,6299,31,26000,-95.1216356,39.5630521
Bethel College-North Newton,North Newton,KS,Midwest,Bachelor,Private,CoEd,0.491,1000,483,24200,5463,71,26050,-97.3455917,38.0722333
Bethany College,Lindsborg,KS,Midwest,Bachelor,Private,CoEd,0.9745,969,637,24390,4100,131,27000,-97.6744838,38.5736176
Berea College,Berea,KY,South,Bachelor,Private,CoEd,0.3366,1125,1577,24270,7556,95,6056,-84.2963223,37.568694
University of the Cumberlands,Williamsburg,KY,South,Graduate,Private,CoEd,0.6628,1038,1844,20000,5404,62,16382.5,-84.1596561,36.7434169
Alice Lloyd College,Pippa Passes,KY,South,Bachelor,Private,CoEd,0.3617,1008,657,10980,4569,139,16495,-82.8740498,37.334822
Campbellsville University,Campbellsville,KY,South,Graduate,Private,CoEd,0.7272,964,2119,22842,5437,149,18500,-85.3419069,37.3433974
University of Louisville,Louisville,KY,South,Graduate,Public,CoEd,0.7386,1144,15038,10432,9450,74,20493,-85.7584557,38.2526647
Murray State University,Murray,KY,South,Graduate,Public,CoEd,0.7996,1064,8126,7392,7011,104,20907.5,-88.314761,36.6103334
University of Kentucky,Lexington,KY,South,Graduate,Public,CoEd,0.7221,1142,21725,10616,9766,55,21500,-84.5037164,38.0405837
University of Pikeville,Pikeville,KY,South,Graduate,Private,CoEd,1,966,1329,18290,8782,149,23000,-82.5187629,37.4792672
Eastern Kentucky University,Richmond,KY,South,Graduate,Public,CoEd,0.7387,1008,13323,7920,6954,116,23500,-84.2946539,37.7478572
Kentucky Wesleyan College,Owensboro,KY,South,Bachelor,Private,CoEd,0.6072,1021,691,22230,5154,104,23567.5,-87.1111676,37.7719074
Western Kentucky University,Bowling Green,KY,South,Graduate,Public,CoEd,0.9332,1047,15388,9140,7082,118,24010.5,-86.4808043,36.9685219
Northern Kentucky University,Highland Heights,KY,South,Graduate,Public,CoEd,0.9072,1046,11654,8856,6905,95,24184,-84.4518854,39.0331169
Morehead State University,Morehead,KY,South,Graduate,Public,CoEd,0.8443,1029,7212,7866,6638,97,25000,-83.4326841,38.1839705
Spalding University,Louisville,KY,South,Graduate,Private,CoEd,0.4571,967,1227,22950,7024,89,25000,-85.7584557,38.2526647
Bellarmine University,Louisville,KY,South,Graduate,Private,CoEd,0.834,1120,2499,36290,7648,41,25000,-85.7584557,38.2526647
Asbury University,Wilmore,KY,South,Graduate,Private,CoEd,0.687,1135,1499,26868,6303,38,25250,-84.6616105,37.8620226
Kentucky Christian University,Grayson,KY,South,Graduate,Private,CoEd,0.4774,966,547,16830,4676,130,26500,-82.9485023,38.3325812
Georgetown College,Georgetown,KY,South,Graduate,Private,CoEd,0.8875,1102,972,32960,6322,55,27000,-84.5588311,38.2097967
Thomas More College,Crestview Hills,KY,South,Graduate,Private,CoEd,0.9328,982,1243,28743,6378,59,27000,-84.5849438,39.0272829
Centre College,Danville,KY,South,Bachelor,Private,CoEd,0.7157,1263,1379,37100,7855,15,27000,-84.7721702,37.6456329
Transylvania University,Lexington,KY,South,Bachelor,Private,CoEd,0.8262,1230,1014,33360,8294,24,27000,-84.5037164,38.0405837
Brescia University,Owensboro,KY,South,Graduate,Private,CoEd,0.4927,1039,1003,19990,5287,103,30500,-87.1111676,37.7719074
Kentucky State University,Frankfort,KY,South,Graduate,Public,CoEd,0.4769,883,1627,7404,6179,184,30982,-84.8732835,38.2009055
Louisiana State University-Alexandria,Alexandria,LA,South,Graduate,Public,CoEd,0.5455,987,2244,6009,5340,115,16021.5,-92.4451371,31.3112936
University of New Orleans,New Orleans,LA,South,Graduate,Public,CoEd,0.4357,1082,6742,7392,7540,75,16989,-90.0715323,29.9510658
Louisiana State University-Shreveport,Shreveport,LA,South,Graduate,Public,CoEd,0.7667,1050,2640,6168,6320,87,17250,-93.7501789,32.5251516
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,South,Graduate,Public,CoEd,0.7663,1161,24452,8750,9461,38,20000,-91.1403196,30.4582829
University of Louisiana at Lafayette,Lafayette,LA,South,Graduate,Public,CoEd,0.558,1070,14667,6872,7652,76,20250,-92.0198427,30.2240897
Nicholls State University,Thibodaux,LA,South,Graduate,Public,CoEd,0.8837,1031,5513,7234,5803,91,20308,-90.822871,29.7957633
Louisiana Tech University,Ruston,LA,South,Graduate,Public,CoEd,0.6503,1104,7272,8052,7344,70,20500,-92.637927,32.5232053
McNeese State University,Lake Charles,LA,South,Graduate,Public,CoEd,0.7527,1030,6597,6334,6419,120,20785,-93.2173758,30.2265949
University of Louisiana at Monroe,Monroe,LA,South,Graduate,Public,CoEd,0.7722,1030,5799,6963,6976,94,21082.5,-92.1193012,32.5093109
Southeastern Louisiana University,Hammond,LA,South,Graduate,Public,CoEd,0.8373,1030,11199,6547,6306,77,21313,-90.4611995,30.5043583
Northwestern State University of Louisiana,Natchitoches,LA,South,Graduate,Public,CoEd,0.7298,1027,6828,6863,6054,108,22375,-93.0862749,31.7607195
Southern University at New Orleans,New Orleans,LA,South,Graduate,Public,CoEd,0.207,806,1658,5218,5676,118,23590,-90.0715323,29.9510658
Louisiana College,Pineville,LA,South,Graduate,Private,CoEd,0.6106,990,957,14570,5561,80,23743.5,-92.4343035,31.3224044
Our Lady of the Lake College,Baton Rouge,LA,South,Graduate,Private,CoEd,0.726,1010,1551,11144,7056,45,25000,-91.1403196,30.4582829
Centenary College of Louisiana,Shreveport,LA,South,Graduate,Private,CoEd,0.6567,1109,548,33500,7143,56,25000,-93.7501789,32.5251516
Loyola University New Orleans,New Orleans,LA,South,Graduate,Private,CoEd,0.9025,1135,2734,36630,8648,41,25500,-90.0715323,29.9510658
Xavier University of Louisiana,New Orleans,LA,South,Graduate,Private,CoEd,0.6599,1039,2313,21552,8131,103,27000,-90.0715323,29.9510658
Tulane University of Louisiana,New Orleans,LA,South,Graduate,Private,CoEd,0.2795,1342,7892,48305,10897,41,27000,-90.0715323,29.9510658
Southern University and A & M College,Baton Rouge,LA,South,Graduate,Public,CoEd,0.5365,910,5133,6630,5683,114,31271.5,-91.1403196,30.4582829
Dillard University,New Orleans,LA,South,Bachelor,Private,CoEd,0.4059,886,1200,16252,6582,152,35000,-90.0715323,29.9510658
Grambling State University,Grambling,LA,South,Graduate,Public,CoEd,0.4395,868,3520,6525,6246,153,37524,-92.7140402,32.5276503
Harvard University,Cambridge,MA,Northeast,Graduate,Private,CoEd,0.0596,1501,7236,43938,19115,9,6500,-71.1097335,42.3736158
Wellesley College,Wellesley,MA,Northeast,Bachelor,Private,Women,0.3011,1390,2172,45078,11511,25,9000,-71.2923877,42.296797
Amherst College,Amherst,MA,Northeast,Bachelor,Private,CoEd,0.1384,1439,1792,48526,12035,15,11706,-72.5198537,42.3732216
Williams College,Williamstown,MA,Northeast,Graduate,Private,CoEd,0.1932,1452,2019,48310,11865,23,13211.5,-73.2036898,42.7120196
Massachusetts Institute of Technology,Cambridge,MA,Northeast,Graduate,Private,CoEd,0.0788,1500,4476,45016,16314,17,14990,-71.1097335,42.3736158
Franklin W Olin College of Engineering,Needham,MA,Northeast,Bachelor,Private,CoEd,0.12,1475,334,46681,10552,1,16125,-71.2377548,42.2809285
Dean College,Franklin,MA,Northeast,Bachelor,Private,CoEd,0.6866,857,1256,34390,6165,149,17184.5,-71.396725,42.0834313
Tufts University,Medford,MA,Northeast,Graduate,Private,CoEd,0.1724,1423,5143,48643,11496,15,18000,-71.1061639,42.4184296
Boston College,Chestnut Hill,MA,Northeast,Graduate,Private,CoEd,0.3391,1380,9483,47436,13825,6,19000,-71.166187,42.3303798
Worcester State University,Worcester,MA,Northeast,Graduate,Public,CoEd,0.613,997,5063,8557,8567,59,19500,-71.8022934,42.2625932
Fitchburg State University,Fitchburg,MA,Northeast,Graduate,Public,CoEd,0.7231,1004,4134,9260,8387,58,22650,-71.8022955,42.5834228
Bay Path University,Longmeadow,MA,Northeast,Graduate,Private,Women,0.6305,951,1574,30859,7838,64,22878.5,-72.5828642,42.0501022
Westfield State University,Westfield,MA,Northeast,Graduate,Public,CoEd,0.7456,997,5429,8682,7701,26,23175,-72.749538,42.1250929
Framingham State University,Framingham,MA,Northeast,Graduate,Public,CoEd,0.6226,1011,4329,8320,8033,50,23979,-71.4161565,42.279286
Emerson College,Boston,MA,Northeast,Graduate,Private,CoEd,0.4918,1244,3757,37350,9470,11,24000,-71.0588801,42.3600825
University of Massachusetts-Amherst,Amherst,MA,Northeast,Graduate,Public,CoEd,0.6139,1217,21864,13443,11456,40,24300,-72.5198537,42.3732216
Eastern Nazarene College,Quincy,MA,Northeast,Graduate,Private,CoEd,0.5287,918,1054,29012,5990,53,24362,-71.0022705,42.2528772
Bridgewater State University,Bridgewater,MA,Northeast,Graduate,Public,CoEd,0.7931,991,9500,8353,8493,51,24500,-70.9750541,41.9903519
Springfield College,Springfield,MA,Northeast,Graduate,Private,CoEd,0.7087,1025,2136,33455,8202,70,24826.5,-72.589811,42.1014831
Lesley University,Cambridge,MA,Northeast,Graduate,Private,CoEd,0.7149,1086,1727,24375,7833,38,25000,-71.1097335,42.3736158
Massachusetts College of Liberal Arts,North Adams,MA,Northeast,Graduate,Public,CoEd,0.7227,977,1517,8975,8227,46,25000,-73.1087148,42.700915
Salem State University,Salem,MA,Northeast,Graduate,Public,CoEd,0.7057,984,7180,8646,8921,78,25000,-70.8967155,42.51954
University of Massachusetts-Lowell,Lowell,MA,Northeast,Graduate,Public,CoEd,0.6201,1145,12190,12447,11281,53,25000,-71.3161718,42.6334247
University of Massachusetts-Dartmouth,North Dartmouth,MA,Northeast,Graduate,Public,CoEd,0.7682,1025,7185,11681,10261,57,25750,-70.9694555,41.640396
College of Our Lady of the Elms,Chicopee,MA,Northeast,Graduate,Private,CoEd,0.7897,946,1336,31188,6795,70,26000,-72.6078672,42.1487043
Becker College,Worcester,MA,Northeast,Bachelor,Private,CoEd,0.6247,1015,1975,32870,7661,122,26000,-71.8022934,42.2625932
Curry College,Milton,MA,Northeast,Graduate,Private,CoEd,0.8688,948,2843,35725,9145,66,26000,-71.0661653,42.2495321
Massachusetts College of Art and Design,Boston,MA,Northeast,Graduate,Public,CoEd,0.7294,1077,1781,11225,9297,83,26000,-71.0588801,42.3600825
Simmons College,Boston,MA,Northeast,Graduate,Private,Women,0.5216,1170,1598,36230,8020,20,26250,-71.0588801,42.3600825
Boston Baptist College,Boston,MA,Northeast,Bachelor,Private,CoEd,0.7391,875,73,14836,4592,48,26750.5,-71.0588801,42.3600825
American International College,Springfield,MA,Northeast,Graduate,Private,CoEd,0.6757,887,1473,30940,6062,62,27000,-72.589811,42.1014831
Mount Ida College,Newton,MA,Northeast,Graduate,Private,CoEd,0.6849,886,1290,30447,6353,99,27000,-71.2092214,42.3370413
Wheelock College,Boston,MA,Northeast,Graduate,Private,CoEd,0.8752,963,867,32830,6963,37,27000,-71.0588801,42.3600825
Gordon College,Wenham,MA,Northeast,Graduate,Private,CoEd,0.8837,1161,1703,34390,7243,13,27000,-70.8911612,42.604261
Lasell College,Newton,MA,Northeast,Graduate,Private,CoEd,0.7632,974,1727,31000,7466,49,27000,-71.2092214,42.3370413
Massachusetts Maritime Academy,Buzzards Bay,MA,Northeast,Graduate,Public,CoEd,0.616,1105,1395,7250,7830,42,27000,-70.618087,41.7453829
Wentworth Institute of Technology,Boston,MA,Northeast,Graduate,Private,CoEd,0.8264,1116,4295,30765,8168,42,27000,-71.0588801,42.3600825
Emmanuel College,Boston,MA,Northeast,Graduate,Private,CoEd,0.693,1093,1967,35532,8440,48,27000,-71.0588801,42.3600825
MCPHS University,Boston,MA,Northeast,Graduate,Private,CoEd,0.8401,1074,3944,30400,8488,10,27000,-71.0588801,42.3600825
Suffolk University,Boston,MA,Northeast,Graduate,Private,CoEd,0.8391,1049,5274,32660,8672,37,27000,-71.0588801,42.3600825
Western New England University,Springfield,MA,Northeast,Graduate,Private,CoEd,0.8015,1077,2722,33466,9582,43,27000,-72.589811,42.1014831
Brandeis University,Waltham,MA,Northeast,Graduate,Private,CoEd,0.3522,1369,3715,47558,12113,24,27000,-71.2356113,42.3764852
Bentley University,Waltham,MA,Northeast,Graduate,Private,CoEd,0.4611,1247,4190,42511,12401,11,27000,-71.2356113,42.3764852
Boston University,Boston,MA,Northeast,Graduate,Private,CoEd,0.3451,1300,16457,46664,12562,18,27000,-71.0588801,42.3600825
Babson College,Wellesley,MA,Northeast,Graduate,Private,CoEd,0.2631,1272,2107,45120,15140,11,27000,-71.2923877,42.296797
Northeastern University,Boston,MA,Northeast,Graduate,Private,CoEd,0.3222,1420,13492,43440,11983,28,28501,-71.0588801,42.3600825
Pine Manor College,Chestnut Hill,MA,Northeast,Graduate,Private,CoEd,0.6784,780,401,26180,6191,172,32125,-71.166187,42.3303798
Johns Hopkins University,Baltimore,MD,South,Graduate,Private,CoEd,0.1608,1439,6039,47060,10307,15,16250,-76.6121893,39.2903848
Towson University,Towson,MD,South,Graduate,Public,CoEd,0.5921,1082,18546,8590,7148,39,18500,-76.6019125,39.4014955
Coppin State University,Baltimore,MD,South,Graduate,Public,CoEd,0.43120000000000003,880,2652,6624,7291,165,19500,-76.6121893,39.2903848
University of Maryland-College Park,College Park,MD,South,Graduate,Public,CoEd,0.4793,1315,26532,9427,12209,20,19500,-76.93776,38.9896967
University of Baltimore,Baltimore,MD,South,Graduate,Public,CoEd,0.6204,920,3444,8018,10436,55,20500,-76.6121893,39.2903848
St Mary's College of Maryland,St. Mary's City,MD,South,Graduate,Public,CoEd,0.7887,1188,1668,13824,7261,27,20962.5,-76.4343173,38.1872404
University of Maryland-Baltimore County,Baltimore,MD,South,Graduate,Public,CoEd,0.5961,1213,11274,10384,9686,49,21943,-76.6121893,39.2903848
Frostburg State University,Frostburg,MD,South,Graduate,Public,CoEd,0.5851,967,4765,7982,7015,91,22250,-78.928357,39.6581424
Bowie State University,Bowie,MD,South,Graduate,Public,CoEd,0.5506,867,4401,7299,8178,120,22927,-76.7791365,39.0067768
Capitol Technology University,Laurel,MD,South,Graduate,Private,CoEd,0.705,1075,406,22896,7030,68,23000,-76.8483061,39.0992752
Stevenson University,Stevenson,MD,South,Graduate,Private,CoEd,0.6231,990,3778,28980,8130,61,25803,-76.7132892,39.4105843
Mount St Mary's University,Emmitsburg,MD,South,Graduate,Private,CoEd,0.6687,1048,1806,36021,7517,15,25995,-77.3269307,39.7045417
Washington Adventist University,Takoma Park,MD,South,Graduate,Private,CoEd,0.4492,854,790,21395,5418,82,27000,-77.0074765,38.9778882
Maryland Institute College of Art,Baltimore,MD,South,Graduate,Private,CoEd,0.5416,1165,1907,42390,6721,50,27000,-76.6121893,39.2903848
McDaniel College,Westminster,MD,South,Graduate,Private,CoEd,0.7613,1094,1649,38350,7079,40,27000,-76.9958149,39.5753791
Notre Dame of Maryland University,Baltimore,MD,South,Graduate,Private,Women,0.4946,1048,1153,33010,7321,45,27000,-76.6121893,39.2903848
University of Maryland Eastern Shore,Princess Anne,MD,South,Graduate,Public,CoEd,0.6127,842,3441,7287,7737,155,27000,-75.692427,38.2028993
St John's College,Annapolis,MD,South,Graduate,Private,CoEd,0.8696,1323,429,47726,8299,72,27000,-76.4921829,38.9784453
Morgan State University,Baltimore,MD,South,Graduate,Public,CoEd,0.6525,874,6239,7378,8502,164,31000,-76.6121893,39.2903848
Maine College of Health Professions,Lewiston,ME,Northeast,Associate,Private,CoEd,0.3333,1000,178,9890,5628,29,16000,-70.2147764,44.100351
University of Maine at Fort Kent,Fort Kent,ME,Northeast,Bachelor,Public,CoEd,0.7461,899,956,7575,6829,111,18500,-68.589491,47.2586502
Colby College,Waterville,ME,Northeast,Bachelor,Private,CoEd,0.2805,1333,1847,47350,11500,1,19195.5,-69.6317121,44.5520105
University of Southern Maine,Portland,ME,Northeast,Graduate,Public,CoEd,0.8395,998,5783,7796,9133,60,22913,-70.2553259,43.661471
University of Maine,Orono,ME,Northeast,Graduate,Public,CoEd,0.8257,1078,8682,10606,9610,47,26150,-68.6719411,44.8831125
Husson University,Bangor,ME,Northeast,Graduate,Private,CoEd,0.7195,951,2292,16097,6865,82,26250,-68.7778138,44.8011821
Saint Joseph's College of Maine,Standish,ME,Northeast,Graduate,Private,CoEd,0.7853,965,1817,31920,6114,29,27000,-70.5509356,43.7355927
University of New England,Biddeford,ME,Northeast,Graduate,Private,CoEd,0.8568,1073,2217,34080,7873,30,27000,-70.4533844,43.4925843
University of Michigan-Ann Arbor,Ann Arbor,MI,Midwest,Graduate,Public,CoEd,0.3224,1380,28217,13486,10677,16,20495.5,-83.7430378,42.2808256
Wayne State University,Detroit,MI,Midwest,Graduate,Public,CoEd,0.7733,1070,17242,11449,9856,90,21393,-83.0457538,42.331427
Northern Michigan University,Marquette,MI,Midwest,Graduate,Public,CoEd,0.7209,1010,7718,9324,7578,96,22000,-87.3955954,46.5475825
Northwood University-Michigan,Midland,MI,Midwest,Graduate,Private,CoEd,0.6947,1004,2808,23132,6225,88,22750,-84.2472116,43.6155825
Cornerstone University,Grand Rapids,MI,Midwest,Graduate,Private,CoEd,0.6884,1051,2020,25112,5809,53,23438,-85.6680863,42.9633599
Rochester College,Rochester Hills,MI,Midwest,Graduate,Private,CoEd,0.4059,972,976,20486,5517,64,23529,-83.1499322,42.6583661
Ferris State University,Big Rapids,MI,Midwest,Graduate,Public,CoEd,0.7842,1010,12632,10677,8172,76,24425.5,-85.4836557,43.6980782
Lake Superior State University,Sault Ste Marie,MI,Midwest,Graduate,Public,CoEd,0.9109,1028,2213,10253,6259,100,24454,-84.3453169,46.4952996
Kuyper College,Grand Rapids,MI,Midwest,Bachelor,Private,CoEd,0.7065,1030,264,19084,5388,48,24750,-85.6680863,42.9633599
Spring Arbor University,Spring Arbor,MI,Midwest,Graduate,Private,CoEd,0.6664,1035,2632,24350,4880,43,25000,-84.5527387,42.2050383
Aquinas College,Grand Rapids,MI,Midwest,Graduate,Private,CoEd,0.6509,1090,1734,27906,6027,53,25000,-85.6680863,42.9633599
Madonna University,Livonia,MI,Midwest,Graduate,Private,CoEd,0.5859,1049,2841,17390,7565,54,25000,-83.3527097,42.36837
University of Detroit Mercy,Detroit,MI,Midwest,Graduate,Private,CoEd,0.6906,1110,2677,37320,8629,42,25000,-83.0457538,42.331427
Oakland University,Rochester Hills,MI,Midwest,Graduate,Public,CoEd,0.67,1070,16528,10613,8809,49,25000,-83.1499322,42.6583661
Cleary University,Howell,MI,Midwest,Graduate,Private,CoEd,0.7929,990,438,19200,4765,78,25458,-83.9293952,42.6072552
Michigan State University,East Lansing,MI,Midwest,Graduate,Public,CoEd,0.6609,1158,38395,13200,10802,40,25458,-84.4838654,42.7369792
Grand Valley State University,Allendale,MI,Midwest,Graduate,Public,CoEd,0.8043,1089,21561,10752,8045,39,25500,-85.9540407,42.9721934
University of Michigan-Dearborn,Dearborn,MI,Midwest,Graduate,Public,CoEd,0.6267,1105,6906,10952,8859,57,25750,-83.1763145,42.3222599
Kalamazoo College,Kalamazoo,MI,Midwest,Bachelor,Private,CoEd,0.6965,1239,1431,41161,8098,24,25936,-85.5872286,42.2917069
Eastern Michigan University,Ypsilanti,MI,Midwest,Graduate,Public,CoEd,0.6887,1028,17723,9663,8960,102,26000,-83.6129939,42.2411499
Michigan Technological University,Houghton,MI,Midwest,Graduate,Public,CoEd,0.755,1244,5576,14040,9518,38,26264,-88.5694182,47.1211331
Western Michigan University,Kalamazoo,MI,Midwest,Graduate,Public,CoEd,0.8406,1030,18450,10685,9175,61,26587,-85.5872286,42.2917069
Calvin College,Grand Rapids,MI,Midwest,Graduate,Private,CoEd,0.7314,1182,3825,29635,8189,15,26999.5,-85.6680863,42.9633599
Olivet College,Olivet,MI,Midwest,Graduate,Private,CoEd,0.6143,917,945,23800,5268,78,27000,-84.9241542,42.4414273
Alma College,Alma,MI,Midwest,Bachelor,Private,CoEd,0.7198,1101,1362,34220,5472,52,27000,-84.6597274,43.3789199
Albion College,Albion,MI,Midwest,Bachelor,Private,CoEd,0.6079,1125,1249,37485,7108,30,27000,-84.7530304,42.243097
